investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Ipanema Investments,Commit,300,40,2,Market,2,30,0,Participant,Bookrunner,Promoted,0,0.1333333333
Beef and Broccoli Union,Decline,1200,140,2,Market,2,115,20.1,Bookrunner,Participant,Demoted,0.1747826087,0.1166666667
Cold Cut Credit,Commit,900,130,3,Market,2,98,24.4,Bookrunner,Bookrunner,None,0.2489795918,0.1444444444
Bank of Pepperoni Pizza,Commit,1200,210,2,Market,2,165,56.6,Bookrunner,Bookrunner,None,0.343030303,0.175
Bank of Pepperoni Pizza,Commit,900,90,3,Market,3,161,38.5,Bookrunner,Participant,Demoted,0.2391304348,0.1
Beef and Broccoli Union,Commit,1400,240,5,Below,1,188,9.8,Bookrunner,Bookrunner,None,0.05212765957,0.1714285714
Bank of Pepperoni Pizza,Commit,2200,250,7,Market,0,169,3.4,Participant,Participant,None,0.0201183432,0.1136363636
Damiba Investment Group,Commit,400,60,4,Market,1,22,3.2,Bookrunner,Bookrunner,None,0.1454545455,0.15
Damiba Investment Group,Commit,1100,160,8,Market,0,146,34,Bookrunner,Bookrunner,None,0.2328767123,0.1454545455
Bank of Pepperoni Pizza,Commit,1200,210,2,Market,1,48,13.2,Bookrunner,Bookrunner,None,0.275,0.175
Cold Cut Credit,Commit,600,90,2,Below,1,25,3.6,Bookrunner,Bookrunner,None,0.144,0.15
Ipanema Investments,Commit,1700,300,9,Below,1,581,147.6,Bookrunner,Bookrunner,None,0.2540447504,0.1764705882
Cold Cut Credit,Commit,1200,240,1,Below,2,79,26.5,Bookrunner,Bookrunner,None,0.335443038,0.2
Ipanema Investments,Decline,600,80,3,Market,2,56,1.1,Bookrunner,Bookrunner,None,0.01964285714,0.1333333333
Damiba Investment Group,Decline,700,70,2,Below,2,102,24.1,Bookrunner,Participant,Demoted,0.2362745098,0.1
Beef and Broccoli Union,Decline,1100,140,9,Market,0,99,3.9,Bookrunner,Bookrunner,None,0.03939393939,0.1272727273
Ipanema Investments,Commit,1000,140,3,Market,3,157,18.2,Bookrunner,Bookrunner,None,0.1159235669,0.14
Beef and Broccoli Union,Decline,200,10,2,Market,3,31,3.7,Bookrunner,Participant,Demoted,0.1193548387,0.05
Beef and Broccoli Union,Commit,800,110,1,Below,2,99,24.7,Bookrunner,Bookrunner,None,0.2494949495,0.1375
Bank of Pepperoni Pizza,Decline,200,20,2,Below,3,33,6.7,Participant,Participant,None,0.203030303,0.1
Bank of Pepperoni Pizza,Commit,600,100,2,Market,2,63,15.7,Bookrunner,Bookrunner,None,0.2492063492,0.1666666667
Cold Cut Credit,Commit,1800,470,3,Below,3,711,230.4,Bookrunner,Bookrunner,None,0.3240506329,0.2611111111
Beef and Broccoli Union,Commit,900,180,1,Above,2,129,34.8,Bookrunner,Bookrunner,None,0.2697674419,0.2
Ipanema Investments,Commit,700,140,1,Market,3,117,13.3,Bookrunner,Bookrunner,None,0.1136752137,0.2
Bank of Pepperoni Pizza,Commit,300,40,2,Market,2,39,11.3,Bookrunner,Bookrunner,None,0.2897435897,0.1333333333
Beef and Broccoli Union,Commit,300,40,2,Market,2,43,9.8,Bookrunner,Bookrunner,None,0.2279069767,0.1333333333
Ipanema Investments,Decline,800,80,3,Market,2,44,2.6,Bookrunner,Participant,Demoted,0.05909090909,0.1
Damiba Investment Group,Commit,1400,220,8,Market,0,63,3,Bookrunner,Bookrunner,None,0.04761904762,0.1571428571
Ipanema Investments,Commit,800,130,1,Market,3,144,4.6,Bookrunner,Bookrunner,None,0.03194444444,0.1625
Cold Cut Credit,Commit,400,80,3,Market,2,50,11,Bookrunner,Bookrunner,None,0.22,0.2
Ipanema Investments,Decline,500,50,3,Market,2,32,2.5,Bookrunner,Participant,Demoted,0.078125,0.1
Cold Cut Credit,Commit,1600,230,9,Market,0,95,20,Bookrunner,Bookrunner,None,0.2105263158,0.14375
Beef and Broccoli Union,Commit,1800,290,1,Market,1,55,7.2,Bookrunner,Bookrunner,None,0.1309090909,0.1611111111
Damiba Investment Group,Commit,1600,250,6,Market,1,134,41.4,Bookrunner,Bookrunner,None,0.3089552239,0.15625
Damiba Investment Group,Commit,1800,350,8,Market,0,165,26.6,Participant,Bookrunner,Promoted,0.1612121212,0.1944444444
Bank of Pepperoni Pizza,Commit,1200,240,3,Market,2,87,4.2,Bookrunner,Bookrunner,None,0.04827586207,0.2
Cold Cut Credit,Commit,400,50,3,Below,2,48,10.4,Participant,Participant,None,0.2166666667,0.125
Cold Cut Credit,Commit,200,40,1,Market,2,29,8.4,Bookrunner,Bookrunner,None,0.2896551724,0.2
Damiba Investment Group,Commit,2000,330,2,Below,1,74,21.1,Bookrunner,Bookrunner,None,0.2851351351,0.165
Ipanema Investments,Decline,300,20,3,Above,2,30,4.8,Bookrunner,Participant,Demoted,0.16,0.06666666667
Beef and Broccoli Union,Commit,1600,300,9,Market,0,178,18,Bookrunner,Bookrunner,None,0.1011235955,0.1875
Damiba Investment Group,Commit,600,100,3,Market,1,28,2.2,Bookrunner,Bookrunner,None,0.07857142857,0.1666666667
Cold Cut Credit,Commit,1500,180,9,Market,0,148,13.8,Participant,Participant,None,0.09324324324,0.12
Damiba Investment Group,Commit,800,160,3,Above,2,47,14.9,Bookrunner,Bookrunner,None,0.3170212766,0.2
Beef and Broccoli Union,Decline,1000,90,4,Below,0,36,7.8,Bookrunner,Participant,Demoted,0.2166666667,0.09
Ipanema Investments,Commit,900,130,1,Market,1,44,4.9,Bookrunner,Bookrunner,None,0.1113636364,0.1444444444
Cold Cut Credit,Commit,1700,360,7,Market,0,88,29.1,Bookrunner,Bookrunner,None,0.3306818182,0.2117647059
Bank of Pepperoni Pizza,Commit,400,50,1,Market,2,55,12.5,Bookrunner,Participant,Demoted,0.2272727273,0.125
Ipanema Investments,Commit,300,60,1,Market,2,26,7.1,Bookrunner,Bookrunner,None,0.2730769231,0.2
Beef and Broccoli Union,Commit,1500,330,6,Market,1,223,50.2,Bookrunner,Bookrunner,None,0.2251121076,0.22
Ipanema Investments,Commit,200,40,3,Market,2,18,0.2,Participant,Bookrunner,Promoted,0.01111111111,0.2
Beef and Broccoli Union,Commit,1800,240,7,Market,0,213,17,Participant,Bookrunner,Promoted,0.07981220657,0.1333333333
Beef and Broccoli Union,Commit,500,90,2,Market,2,49,17.1,Bookrunner,Bookrunner,None,0.3489795918,0.18
Beef and Broccoli Union,Commit,600,80,1,Market,2,64,8,Participant,Bookrunner,Promoted,0.125,0.1333333333
Beef and Broccoli Union,Commit,2200,520,5,Market,1,186,76.4,Bookrunner,Bookrunner,None,0.4107526882,0.2363636364
Cold Cut Credit,Commit,2300,400,10,Market,0,252,30.7,Bookrunner,Bookrunner,None,0.1218253968,0.1739130435
Damiba Investment Group,Decline,600,40,4,Market,1,63,10.1,Bookrunner,Participant,Demoted,0.1603174603,0.06666666667
Beef and Broccoli Union,Decline,300,50,1,Market,1,10,1.1,Bookrunner,Bookrunner,None,0.11,0.1666666667
Cold Cut Credit,Commit,1300,330,1,Below,2,127,30.6,Bookrunner,Bookrunner,None,0.2409448819,0.2538461538
Cold Cut Credit,Decline,400,60,3,Market,2,55,1.4,Bookrunner,Bookrunner,None,0.02545454545,0.15
Bank of Pepperoni Pizza,Commit,1300,150,5,Above,1,186,21.6,Bookrunner,Participant,Demoted,0.1161290323,0.1153846154
Ipanema Investments,Commit,1400,200,6,Market,0,59,16.8,Bookrunner,Bookrunner,None,0.2847457627,0.1428571429
Beef and Broccoli Union,Decline,800,80,1,Market,2,72,5.6,Bookrunner,Participant,Demoted,0.07777777778,0.1
Damiba Investment Group,Commit,1300,250,1,Market,2,105,12.9,Bookrunner,Bookrunner,None,0.1228571429,0.1923076923
Beef and Broccoli Union,Commit,800,190,1,Market,2,90,21.6,Participant,Bookrunner,Promoted,0.24,0.2375
Bank of Pepperoni Pizza,Commit,2000,310,6,Market,1,180,8.1,Bookrunner,Bookrunner,None,0.045,0.155
Beef and Broccoli Union,Commit,1000,200,5,Market,1,245,66.2,Participant,Bookrunner,Promoted,0.2702040816,0.2
Ipanema Investments,Decline,1300,180,1,Market,1,51,1,Bookrunner,Bookrunner,None,0.01960784314,0.1384615385
Cold Cut Credit,Commit,1200,140,4,Below,1,145,39,Bookrunner,Participant,Demoted,0.2689655172,0.1166666667
Bank of Pepperoni Pizza,Decline,1000,100,7,Market,0,68,8.8,Bookrunner,Participant,Demoted,0.1294117647,0.1
